"","unique_names","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"1","seq.10512.13",-0.142364532420863,7.33081700311009,-2.73536640152183,0.00701097230104535,0.688908323329038,-2.4307135850192,"CSF2RB"
"2","seq.10552.88",0.0858135679828433,8.51467781123841,2.6382606570222,0.00924513884737205,0.688908323329038,-2.64745870057973,"KLRC4"
"3","seq.11135.5",-0.447638158218756,8.82154016155696,-2.63573684697114,0.00931093845290877,0.688908323329038,-2.65299858628928,"MRPL55"
"4","seq.11184.51",0.432830876295767,13.0409205905738,2.83150475855882,0.00529330522051609,0.688908323329038,-2.20928453892099,"CHGA"
"5","seq.11232.46",-0.164179980676602,8.62314446768708,-2.64607753843979,0.009043992664558,0.688908323329038,-2.63027013200595,"TCN1"
"6","seq.11382.5",0.128301590080524,15.5419123231846,3.05992700441403,0.00263908555255302,0.629003540269209,-1.6563693209127,"BLVRA"
"7","seq.11439.88",-0.128566495659692,8.70816920241155,-3.15934414293733,0.00192557800759955,0.629003540269209,-1.40416575669031,"RHPN2"
"8","seq.12475.48",-0.577021816627558,10.6244517060178,-2.66568257508553,0.00855676644049369,0.688908323329038,-2.58696037590436,"CLIC5"
"9","seq.12556.7",-0.068725115664518,7.83110717885646,-2.77447963497579,0.00625885587086481,0.688908323329038,-2.34144345982127,"UBE2C"
"10","seq.12671.35",-0.287165345077295,8.49903232758906,-3.03915337587025,0.00281612433818849,0.629003540269209,-1.70819176383653,"SULT1B1"
"11","seq.13124.20",0.251264267709465,11.8623631156543,2.80965896563577,0.00564588155924201,0.688908323329038,-2.26019390306857,"ISLR2"
"12","seq.13587.10",-0.184715814378852,7.48042928274507,-3.28748020678651,0.00126888857346333,0.629003540269209,-1.06899522790301,"RACGAP1"
"13","seq.13986.6",0.160296426156464,15.2690605009102,2.6302465028014,0.00945554049213121,0.688908323329038,-2.66503374454637,"LANCL1"
"14","seq.14206.28",-0.099454159920344,6.91186614835846,-3.09314531244799,0.00237722554204226,0.629003540269209,-1.57287038088047,"APBB1"
"15","seq.15376.134",-0.137522391624423,8.81917146491529,-2.76179384684163,0.00649434460412918,0.688908323329038,-2.37052001957247,"CTSE"
"16","seq.15470.11",0.0991580108661737,9.3097978394707,2.78458025661388,0.00607693930782091,0.688908323329038,-2.31820789381562,"HEXB"
"17","seq.15472.16",0.229451430106137,10.2746583297433,2.92096740618263,0.0040493836875049,0.688908323329038,-1.99718991821026,"LRP11"
"18","seq.16814.13",-0.106290069677608,9.0259429837337,-3.08872099001231,0.00241065825894175,0.629003540269209,-1.58403630489784,"FHL1"
"19","seq.16851.50",-0.655011317216833,10.1996683817138,-2.80403398107789,0.00574006592415884,0.688908323329038,-2.27324602019236,"SCO2"
"20","seq.16900.29",0.242407012165995,10.5402607545328,2.94573961045658,0.00375583924708621,0.688908323329038,-1.93744098095064,"MDGA1"
"21","seq.17366.6",0.27213929716912,14.2902521053031,3.16822027757447,0.00187147286660682,0.629003540269209,-1.38131324493151,"DCUN1D1"
"22","seq.17748.21",0.219908156176507,14.3195815645909,2.70809251943783,0.00758298988561871,0.688908323329038,-2.49229556765765,"TP53I3"
"23","seq.17855.28",-0.111234717328402,8.94719126229217,-2.73404200946564,0.00703781815481988,0.688908323329038,-2.43371661795567,"RGS4"
"24","seq.18863.176",-0.126163926540283,8.17824362186522,-2.86134366559801,0.00484416647332643,0.688908323329038,-2.13918728586185,"CHST2"
"25","seq.18887.7",0.608450399846036,12.3297959603656,3.37083945725878,0.000961108345692788,0.629003540269209,-0.844930320610189,"ENTPD2"
"26","seq.19219.71",0.152682450462167,11.1970281747129,2.68186949062068,0.00817249681872505,0.688908323329038,-2.55098631194819,"NUTF2"
"27","seq.19581.15",0.426980984752394,13.5999590895775,3.36651533067314,0.000975180534510948,0.629003540269209,-0.85666875272522,"IGFBP5"
"28","seq.20069.23",-0.144122049700218,8.40292932243466,-3.05591931144415,0.00267241878477914,0.629003540269209,-1.66639072508034,"GLYATL2"
"29","seq.20175.17",0.255633536000144,12.5817670586931,3.74598157397311,0.000258809580188782,0.629003540269209,0.220347601664857,"COL9A3"
"30","seq.20373.141",-0.143442785945015,10.4987165189778,-2.87622561280876,0.00463343493942103,0.688908323329038,-2.10398549223659,"GID8"
